order,canonical_id,title,file,selection,source
57,MIZAN_08,Eight of Mizan,57_MIZAN_08_Eight_of_Mizan.png,second-pass regenerated A-D,C:\Users\User\Desktop\AI 2\Sufi Tarot\regenerated_candidates\mizan_redo\MIZAN_08_Eight_of_Mizan_v2.png
58,MIZAN_09,Nine of Mizan,58_MIZAN_09_Nine_of_Mizan.png,second-pass regenerated A-D,C:\Users\User\Desktop\AI 2\Sufi Tarot\regenerated_candidates\mizan_redo\MIZAN_09_Nine_of_Mizan_v2.png
59,MIZAN_10,Ten of Mizan,59_MIZAN_10_Ten_of_Mizan.png,second-pass regenerated A-D,C:\Users\User\Desktop\AI 2\Sufi Tarot\regenerated_candidates\mizan_redo\MIZAN_10_Ten_of_Mizan_v2.png
60,MIZAN_SEEKER,Seeker of Mizan,60_MIZAN_SEEKER_Seeker_of_Mizan.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Tarrot Cards 55-61\card_61_page_of_swords.png
61,MIZAN_SCHOLAR,Scholar of Mizan,61_MIZAN_SCHOLAR_Scholar_of_Mizan.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\tarot_cards_61_67\card_61_mizan_scholar.png
62,MIZAN_GUARDIAN,Guardian of Mizan,62_MIZAN_GUARDIAN_Guardian_of_Mizan.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\tarot_cards_61_67\card_62_mizan_guardian.png
63,MIZAN_SAGE,Sage of Mizan,63_MIZAN_SAGE_Sage_of_Mizan.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\tarot_cards_61_67\card_63_mizan_sage.png
64,ARD_ACE,Ace of Ard,64_ARD_ACE_Ace_of_Ard.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\tarot_cards_61_67\card_64_ace_of_ard.png
65,ARD_02,Two of Ard,65_ARD_02_Two_of_Ard.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\tarot_cards_61_67\card_65_two_of_ard.png
66,ARD_03,Three of Ard,66_ARD_03_Three_of_Ard.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\tarot_cards_61_67\card_66_three_of_ard.png
67,ARD_04,Four of Ard,67_ARD_04_Four_of_Ard.png,regenerated,C:\Users\User\Desktop\AI 2\Sufi Tarot\regenerated_candidates\U084_four_of_ard.png
68,ARD_05,Five of Ard,68_ARD_05_Five_of_Ard.png,regenerated,C:\Users\User\Desktop\AI 2\Sufi Tarot\regenerated_candidates\CARD_68_five_of_ard_NEW.png
69,ARD_06,Six of Ard,69_ARD_06_Six_of_Ard.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Final Phase Miscelaneous\70.png
70,ARD_07,Seven of Ard,70_ARD_07_Seven_of_Ard.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Final Phase Miscelaneous\71.png
71,ARD_08,Eight of Ard,71_ARD_08_Eight_of_Ard.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Final Phase Miscelaneous\72.png
72,ARD_09,Nine of Ard,72_ARD_09_Nine_of_Ard.png,second-pass regenerated A-D,C:\Users\User\Desktop\AI 2\Sufi Tarot\regenerated_candidates\ard_redo\ARD_09_Nine_of_Ard_redo.png
73,ARD_10,Ten of Ard,73_ARD_10_Ten_of_Ard.png,second-pass regenerated A-D,C:\Users\User\Desktop\AI 2\Sufi Tarot\regenerated_candidates\ard_redo\ARD_10_Ten_of_Ard_redo.png
74,ARD_SEEKER,Seeker of Ard,74_ARD_SEEKER_Seeker_of_Ard.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Final Phase Miscelaneous\75.png
75,ARD_SCHOLAR,Scholar of Ard,75_ARD_SCHOLAR_Scholar_of_Ard.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Final Phase Miscelaneous\76.png
76,ARD_GUARDIAN,Guardian of Ard,76_ARD_GUARDIAN_Guardian_of_Ard.png,second-pass regenerated A-D,C:\Users\User\Desktop\AI 2\Sufi Tarot\regenerated_candidates\ard_redo\ARD_GUARDIAN_Guardian_of_Ard_redo.png
77,ARD_SAGE,Sage of Ard,77_ARD_SAGE_Sage_of_Ard.jpeg,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Final Phase Miscelaneous\78.jpeg
